metric,slope_per_year,forecast_2025_linear,forecast_2025_naive,backtest_MAE,backtest_MAPE,backtest_n_years
Surface bio (ha),411371.84596077417,7710755.6904120445,7293932.538,526813.2132842435,0.0965704031034955,11
Surface en conversion (ha),69338.74892646847,1630970.0216324031,840767.9689999999,432897.53830340004,0.41677016070405587,11
Animaux/ruches bio,1136773.3259803622,26313702.463235855,19921251.0,2549941.0659292177,0.12484851798621775,11
Entreprises aval (nbr),3558.6029411763775,71245.72058823612,62864.0,6422.916063987015,0.12558711616312712,11
